t,v,i
8.6770003661871E-08,51.93029,0.3457131
8.6822171078928E-08,52.19057,0.382892
8.68744715112473E-08,52.44628,0.4102807
8.69248115258782E-08,52.68894,0.425332
8.69868543102065E-08,52.98613,0.4269179
8.70689000890958E-08,53.38115,0.4039406
8.71531247639852E-08,53.7953,0.3535781
8.72537729718318E-08,54.30867,0.2668514
8.73518041480464E-08,54.8311,0.1687913
8.74269866698248E-08,55.24907,0.09297709
8.74859724676079E-08,55.58839,0.03943236
8.75437965967801E-08,55.92926,-0.003394699
8.76018301273335E-08,56.27713,-0.03427588
8.76603677307615E-08,56.63158,-0.04972817
8.77447959293451E-08,57.14269,-0.04377378
8.78570816543237E-08,57.81401,0.001963538
8.7940528418403E-08,58.29969,0.06034667
8.80278342237088E-08,58.78888,0.137506
8.81139773378249E-08,59.25266,0.2170877
8.81792861860287E-08,59.59098,0.2730454
8.82419109027983E-08,59.90496,0.3174618
8.83046655914305E-08,60.21189,0.3481997
8.83858120927498E-08,60.60259,0.3633871
8.84916604061607E-08,61.11087,0.3483622
8.85648713749557E-08,61.46635,0.3152663
8.86248037830622E-08,61.76345,0.2735673
8.86788104941629E-08,62.03777,0.2282789
8.87312169825458E-08,62.3108,0.1804464
8.87842035096414E-08,62.59446,0.1315259
8.88539303570893E-08,62.97783,0.07080175
8.89152927464445E-08,63.32334,0.02440076
8.89711455919525E-08,63.64402,-0.008433042
8.90271366801629E-08,63.96964,-0.02993219
8.90864694026003E-08,64.31688,-0.03925039
8.91464199687826E-08,64.66759,-0.03434514
8.92074661010804E-08,65.02189,-0.01466876
8.92779988556745E-08,65.4247,0.02345726
8.93510809325468E-08,65.83215,0.07541703
8.94246310488006E-08,66.2294,0.1349505
8.95070116681589E-08,66.65792,0.2010604
8.9604479403705E-08,67.14559,0.2659892
8.97107418495927E-08,67.66027,0.3071414
8.98324284906725E-08,68.24177,0.3057589
8.99800458837437E-08,68.95395,0.2481063
9.00614037267933E-08,69.35739,0.1942739
9.01294313105798E-08,69.70605,0.1402185
9.01928840344628E-08,70.04045,0.0899878
9.02497842105213E-08,70.3474,0.04910329
9.03048172954627E-08,70.64989,0.01642459
9.0361423598956E-08,70.96528,-0.008072041
9.041608278061E-08,71.27235,-0.0212596
9.04759095073499E-08,71.60905,-0.02195698
9.05594225461228E-08,72.07619,-0.002898348
9.06355546903721E-08,72.49585,0.03126724
9.07038802808951E-08,72.86409,0.07380389
9.07735910738431E-08,73.22946,0.1235934
9.084827911982E-08,73.60863,0.1769795
9.09366135308203E-08,74.04236,0.2311222
9.10335562776022E-08,74.50464,0.2693404
9.11462924933845E-08,75.03366,0.2771564
9.12799444358031E-08,75.66224,0.2426802
9.13576779434594E-08,76.03486,0.2024188
9.14322612110202E-08,76.40205,0.1524792
9.14994216976818E-08,76.74122,0.1054777
9.15583206130728E-08,77.04549,0.0665336
9.16116675576579E-08,77.32624,0.03620302
9.16686654531326E-08,77.63039,0.01111793
9.17214657894471E-08,77.91471,-0.003965201
9.17748380703157E-08,78.2034,-0.01011505
9.18273107568712E-08,78.48653,-0.005510005
9.1922700877475E-08,78.99599,0.02291056
9.20092621765548E-08,79.44943,0.06435897
9.20887309180108E-08,79.85424,0.1122261
9.21714991635593E-08,80.26252,0.1634658
9.22632699838792E-08,80.70078,0.2115731
9.2365060335885E-08,81.17393,0.2438553
9.24808476788317E-08,81.70477,0.2474613
9.25959661072561E-08,82.23515,0.2170962
9.27045473498522E-08,82.74545,0.1644255
9.27836417632136E-08,83.12711,0.1177822
9.28504533378172E-08,83.45763,0.07829665
9.29103431198852E-08,83.7597,0.04710215
9.29672365646236E-08,84.05075,0.02386536
9.30241153157935E-08,84.34446,0.008518485
9.30788267663159E-08,84.62826,0.001981068
9.31284038224061E-08,84.88533,0.003885849
9.31869646783997E-08,85.18736,0.01526451
9.32495161914954E-08,85.50654,0.03634188
9.33136147805079E-08,85.8284,0.06557926
9.33791248040679E-08,86.15034,0.1004417
9.34585530867141E-08,86.53076,0.1438555
9.35433854087317E-08,86.92592,0.1844786
9.36418965108631E-08,87.37331,0.2159976
9.3749629556438E-08,87.85542,0.223729
9.3887294042294E-08,88.47189,0.1973742
9.39851656052395E-08,88.91644,0.1587544
9.40464300402522E-08,89.20045,0.1275059
9.41002676572814E-08,89.45481,0.09875944
9.41545764714444E-08,89.71549,0.07140694
9.42094507759703E-08,89.98258,0.04767425
9.42734305942805E-08,90.29748,0.02673212
9.43330266633439E-08,90.5929,0.01532071
9.43977007072183E-08,90.91426,0.01275449
9.44565715251611E-08,91.20573,0.01963975
9.45279650684837E-08,91.55601,0.03830521
9.45909118902364E-08,91.86064,0.06190473
9.46487166585868E-08,92.13558,0.08807299
9.47076436048527E-08,92.41033,0.1165226
9.47787450963379E-08,92.73464,0.1492549
9.48612599681077E-08,93.10262,0.1800371
9.49574813871917E-08,93.52355,0.2004141
9.50692246519624E-08,94.00848,0.1981053
9.52251907275815E-08,94.68893,0.1608204
9.53030217171866E-08,95.03387,0.1305503
9.53563570858704E-08,95.27467,0.1059688
9.5406403728553E-08,95.504,0.08317351
9.54572962454044E-08,95.74008,0.06200924
9.55086385590413E-08,95.98077,0.04417492
9.55662668474741E-08,96.25317,0.03009654
9.56408815696406E-08,96.60745,0.02157902
9.57112275861349E-08,96.94098,0.02447615
