t,i
3.62656e-07,0.0460379
3.62959e-07,0.0302685
3.63082e-07,0.027321
3.63202e-07,0.0282209
3.6335e-07,0.0332447
3.63473e-07,0.0386308
3.63597e-07,0.0428722
3.63732e-07,0.0438927
3.63883e-07,0.0405497
3.6419e-07,0.0267125
3.64315e-07,0.0241445
3.64435e-07,0.0249254
3.6458e-07,0.0291424
3.64701e-07,0.0336987
3.64826e-07,0.0372953
3.64961e-07,0.0381044
3.65112e-07,0.0351292
3.65419e-07,0.0230692
3.65544e-07,0.0208332
3.65665e-07,0.021483
3.65807e-07,0.0250184
3.65928e-07,0.0288694
3.66052e-07,0.0319119
3.66186e-07,0.0325734
3.66337e-07,0.0299846
3.66643e-07,0.0194723
3.66767e-07,0.0174348
3.66886e-07,0.0178711
3.67032e-07,0.0208918
3.67154e-07,0.0241721
3.67276e-07,0.0267185
3.67409e-07,0.0272682
3.67557e-07,0.0250713
3.67667e-07,0.0219165
3.67761e-07,0.0187243
3.67861e-07,0.0158886
3.67984e-07,0.0139727
3.68098e-07,0.0141802
3.68263e-07,0.0169558
3.68391e-07,0.0197945
3.68511e-07,0.0218174
3.68642e-07,0.0220993
3.68788e-07,0.0200844
3.68889e-07,0.0174935
3.68982e-07,0.0147331
3.69078e-07,0.0122469
3.69185e-07,0.0105565
3.69297e-07,0.0103539
3.69436e-07,0.0119194
3.69645e-07,0.015895
3.69772e-07,0.0172585
3.69895e-07,0.0168794
3.7006e-07,0.014193
3.70234e-07,0.00984156
3.70324e-07,0.00797929
3.70431e-07,0.00674356
3.70533e-07,0.00678419
3.70676e-07,0.00835396
3.70888e-07,0.0116878
3.71004e-07,0.0125543
3.71123e-07,0.0120358
3.71283e-07,0.00960899
3.71447e-07,0.00597008
3.71524e-07,0.00447235
3.71605e-07,0.00339442
3.71692e-07,0.00294534
3.71783e-07,0.00322621
3.7186e-07,0.00398707
3.72029e-07,0.00643606
3.72124e-07,0.00752882
3.72226e-07,0.00798884
3.7234e-07,0.00739027
3.72493e-07,0.00526675
3.72685e-07,0.00148112
3.72739e-07,0.000590105
3.72793e-07,-9.5463e-05
3.72848e-07,-0.00053375
3.72905e-07,-0.000671399
3.72987e-07,-0.000425395
3.73048e-07,4.03117e-05
3.731e-07,0.000619713
3.73201e-07,0.00192416
3.73264e-07,0.0026712
3.73332e-07,0.0032677
3.73414e-07,0.00358137
3.73503e-07,0.0033116
3.7362e-07,0.00217588
3.73686e-07,0.00119175
3.73858e-07,-0.00188925
3.73913e-07,-0.00274849
3.73971e-07,-0.00343828
3.74052e-07,-0.00398236
3.74152e-07,-0.00409806
3.74213e-07,-0.00385167
3.74269e-07,-0.00341679
3.74317e-07,-0.00294371
3.74404e-07,-0.00199641
3.74449e-07,-0.00155299
3.74505e-07,-0.00110521
3.7457e-07,-0.000777976
3.74633e-07,-0.000709232
3.74695e-07,-0.000946684
3.74789e-07,-0.00175969
3.74864e-07,-0.00270245
